'ReebNoAttractor.reebFlow_isometry' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebNoAttractor.infDist_reebFlow' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebNoAttractor.attracted_subset_closure' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebNoAttractor.no_proper_attractor' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebNoAttractor.no_compact_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebNoAttractor.univ_attracts' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebNoAttractor.measure_le_of_attractor' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebNoAttractor.no_smaller_attractor' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebNoAttractor.reebFlow_measurePreserving' depends on axioms: [propext, Classical.choice, Quot.sound]
